Dataset,Model,app1_mean,app1_std,app2_mean,app2_std,app3_mean,app3_std,app4_mean,app4_std,app5_mean,app5_std,app6_mean,app6_std,app7_mean,app7_std,app8_mean,app8_std,app9_mean,app9_std,app10_mean,app10_std,app11_mean,app11_std
nz01.csv,PropDir,0.504,0.001,0.305,0.002,0.126,0.001,0.131,0.003,0.078,0.002,0.024,0,,,,,,,,,,
nz01.csv,PROFHiT,0.684,,0.532,,0.302,,0.171,,0.06,,0.08,,,,,,,,,,,
nz01.csv,TimesProp,0.397,0.006,0.307,0.004,0.15,0.001,0.114,0.001,0.057,0,0.033,0,,,,,,,,,,
nz02.csv,PROFHiT,0.335,,0.154,,0.006,,0.276,,0.154,,0.028,,,,,,,,,,,
nz02.csv,PropDir,0.464,0.001,0.111,0.002,0.076,0.003,0.21,0.002,0.292,0.001,0.032,0.001,,,,,,,,,,
nz02.csv,TimesProp,0.481,0.01,0.091,0.003,0.051,0.002,0.2,0.003,0.279,0,0.039,0,,,,,,,,,,
nz06.csv,PropDir,0.423,0.001,0.332,0.003,0.104,0.003,0.162,0.002,0.049,0,0.016,0,,,,,,,,,,
nz06.csv,PROFHiT,0.547,,0.426,,0.037,,0.12,,0.21,,0.182,,,,,,,,,,,
nz06.csv,TimesProp,0.363,0.002,0.295,0.001,0.056,0.002,0.102,0.002,0.045,0,0.023,0,,,,,,,,,,
nz07.csv,PROFHiT,0.313,,0.112,,0.036,,0.129,,0.02,,,,,,,,,,,,,
nz07.csv,PropDir,0.163,0.001,0.095,0,0.04,0,0.082,0.002,0.019,0,,,,,,,,,,,,
nz07.csv,TimesProp,0.139,0.001,0.068,0,0.036,0,0.078,0.001,0.028,0,,,,,,,,,,,,
nz08.csv,TimesProp,0.312,0.002,0.02,0,0.18,0.001,0.089,0.001,0.066,0,0.055,0,,,,,,,,,,
nz08.csv,PropDir,0.339,0.001,0.007,0,0.179,0.001,0.102,0.002,0.117,0.002,0.052,0,,,,,,,,,,
nz08.csv,PROFHiT,0.504,,0.091,,0.441,,0.087,,0.133,,0.077,,,,,,,,,,,
nz09.csv,TimesProp,0.23,0.005,0.194,0.005,0.096,0.009,0.039,0.001,0.142,0.019,,,,,,,,,,,,
nz09.csv,PropDir,0.29,0.003,0.202,0.002,0.11,0.017,0.014,0,0.144,0.006,,,,,,,,,,,,
nz09.csv,PROFHiT,0.452,,0.46,,0.041,,0.024,,0.196,,,,,,,,,,,,,
nz10.csv,PropDir,0.273,0.003,0.066,0.002,0.042,0.001,0.064,0.001,0.159,0.002,0.029,0,,,,,,,,,,
nz10.csv,PROFHiT,0.255,,0.039,,0.056,,0.089,,0.181,,0.08,,,,,,,,,,,
nz10.csv,TimesProp,0.211,0.002,0.036,0.001,0.044,0.001,0.074,0.001,0.155,0,0.036,0,,,,,,,,,,
nz11.csv,PROFHiT,0.717,,0.33,,0.061,,0.037,,0.121,,0.387,,,,,,,,,,,
nz11.csv,TimesProp,0.164,0.002,0.087,0.002,0.028,0,0.04,0.001,0.07,0.001,0.058,0,,,,,,,,,,
nz11.csv,PropDir,0.192,0.001,0.094,0.001,0.019,0,0.035,0.001,0.067,0.001,0.055,0,,,,,,,,,,
nz12.csv,TimesProp,0.122,0.003,0.057,0.001,0.027,0.002,0.077,0.001,,,,,,,,,,,,,,
nz12.csv,PROFHiT,0.302,,0.123,,0.017,,0.267,,,,,,,,,,,,,,,
nz12.csv,PropDir,0.149,0.002,0.072,0.001,0.042,0,0.082,0.001,,,,,,,,,,,,,,
nz13.csv,PropDir,0.361,0.001,0.004,0,0.196,0.002,0.209,0.003,0.087,0,0.093,0.003,,,,,,,,,,
nz13.csv,PROFHiT,0.729,,0.122,,0.223,,0.198,,0.107,,0.554,,,,,,,,,,,
nz13.csv,TimesProp,0.311,0.003,0.024,0.001,0.174,0.001,0.136,0.002,0.092,0,0.099,0.002,,,,,,,,,,
nz14.csv,PropDir,0.277,0.001,0.155,0.001,0.105,0.001,0.176,0.004,0.042,0.001,,,,,,,,,,,,
nz14.csv,PROFHiT,0.322,,0.114,,0.031,,0.242,,0.107,,,,,,,,,,,,,
nz14.csv,TimesProp,0.258,0,0.142,0.001,0.072,0.002,0.165,0.004,0.032,0.001,,,,,,,,,,,,
nz15.csv,PROFHiT,0.362,,0.044,,0.223,,0.289,,0.053,,,,,,,,,,,,,
nz15.csv,PropDir,0.377,0.001,0.022,0,0.263,0.003,0.19,0.002,0.036,0,,,,,,,,,,,,
nz15.csv,TimesProp,0.334,0.003,0.042,0.002,0.247,0.004,0.098,0.001,0.055,0.001,,,,,,,,,,,,
nz16.csv,TimesProp,0.208,0.004,0.038,0.002,0.179,0.002,0.019,0.001,0.024,0.001,,,,,,,,,,,,
nz16.csv,PROFHiT,0.208,,0.038,,0.41,,0.04,,0.031,,,,,,,,,,,,,
nz16.csv,PropDir,0.215,0.001,0.045,0.001,0.178,0,0.023,0,0.029,0,,,,,,,,,,,,
nz17.csv,TimesProp,0.264,0.003,0.02,0.002,0.22,0.002,0.037,0.002,0.025,0.001,0.059,0,0.016,0,0.003,0,0.009,0,,,,
nz17.csv,PROFHiT,0.261,,0.104,,0.275,,0.07,,0.03,,0.109,,0.01,,0,,0.015,,,,,
nz17.csv,PropDir,0.27,0.003,0.003,0,0.238,0.006,0.062,0,0.019,0,0.081,0,0.015,0,0.002,0,0.009,0,,,,
nz18.csv,TimesProp,0.329,0.004,0.166,0.006,0.144,0.003,0.11,0.001,0.065,0.001,,,,,,,,,,,,
nz18.csv,PROFHiT,0.483,,0.461,,0.215,,0.264,,0.071,,,,,,,,,,,,,
nz18.csv,PropDir,0.421,0.004,0.17,0.002,0.225,0.002,0.105,0,0.046,0,,,,,,,,,,,,
nz19.csv,TimesProp,0.099,0.001,0.066,0.001,0.017,0,0.027,0,0.002,0,0.005,0,,,,,,,,,,
nz19.csv,PropDir,0.117,0,0.071,0,0.012,0,0.022,0,0.003,0,0.006,0,,,,,,,,,,
nz19.csv,PROFHiT,0.179,,0.165,,0.028,,0.039,,0.004,,0.01,,,,,,,,,,,
nz20.csv,PROFHiT,0.505,,0.109,,0.081,,0.537,,0.247,,,,,,,,,,,,,
nz20.csv,PropDir,0.343,0.002,0.098,0.001,0.026,0,0.259,0.001,0.147,0,,,,,,,,,,,,
nz20.csv,TimesProp,0.314,0.001,0.065,0.006,0.044,0,0.222,0,0.116,0.001,,,,,,,,,,,,
nz21.csv,PropDir,0.176,0.002,0.062,0.002,0.071,0.001,0.041,0,0.025,0,0.028,0,,,,,,,,,,
nz21.csv,TimesProp,0.153,0.001,0.042,0.001,0.067,0,0.047,0,0.026,0,0.03,0,,,,,,,,,,
nz21.csv,PROFHiT,0.609,,0.15,,0.446,,0.089,,0.136,,0.12,,,,,,,,,,,
nz22.csv,PropDir,0.564,0,0.188,0.005,0.111,0.001,0.227,0,0.03,0,0.209,0.001,,,,,,,,,,
nz22.csv,TimesProp,0.458,0.011,0.174,0.002,0.096,0.003,0.228,0.002,0.049,0.001,0.211,0.002,,,,,,,,,,
nz22.csv,PROFHiT,0.55,,0.242,,0.148,,0.227,,0.069,,0.233,,,,,,,,,,,
nz23.csv,PROFHiT,0.308,,0.193,,0.064,,0.083,,0.183,,,,,,,,,,,,,
nz23.csv,PropDir,0.303,0.001,0.222,0.001,0.155,0.003,0.049,0,0.112,0.002,,,,,,,,,,,,
nz23.csv,TimesProp,0.265,0.001,0.189,0.002,0.091,0.001,0.066,0.001,0.096,0.003,,,,,,,,,,,,
nz24.csv,PROFHiT,0.595,,0.59,,0.129,,0.019,,0.098,,,,,,,,,,,,,
nz24.csv,PropDir,0.346,0.002,0.181,0.002,0.038,0,0.2,0,0.047,0,,,,,,,,,,,,
nz24.csv,TimesProp,0.227,0.003,0.176,0.003,0.051,0.001,0.05,0,0.061,0.001,,,,,,,,,,,,
nz25.csv,PROFHiT,0.295,,0.152,,0.184,,0.208,,0.121,,,,,,,,,,,,,
nz25.csv,TimesProp,0.277,0.004,0.124,0.001,0.135,0.003,0.152,0.002,0.084,0.002,,,,,,,,,,,,
nz25.csv,PropDir,0.322,0.002,0.115,0,0.172,0.003,0.142,0.001,0.056,0,,,,,,,,,,,,
nz26.csv,TimesProp,0.193,0.002,0.049,0,0.05,0.003,0.035,0.001,0.172,0.001,,,,,,,,,,,,
nz26.csv,PropDir,0.211,0.001,0.042,0,0.088,0,0.017,0,0.172,0.002,,,,,,,,,,,,
nz26.csv,PROFHiT,0.293,,0.115,,0.026,,0.11,,0.457,,,,,,,,,,,,,
nz27.csv,TimesProp,0.204,0.004,0.045,0.002,0.077,0.002,0.091,0.006,0.163,0.004,0.052,0,,,,,,,,,,
nz27.csv,PropDir,0.214,0.001,0.031,0.001,0.061,0,0.005,0,0.127,0.001,0.043,0,,,,,,,,,,
nz27.csv,PROFHiT,0.557,,0.132,,0.414,,0.443,,0.183,,0.24,,,,,,,,,,,
nz29.csv,TimesProp,0.271,0.001,0.164,0.004,0.181,0.001,0.04,0.001,0.029,0.001,0.025,0,,,,,,,,,,
nz29.csv,PropDir,0.289,0,0.179,0.002,0.177,0.001,0.005,0,0.041,0.001,0.017,0,,,,,,,,,,
nz29.csv,PROFHiT,0.329,,0.403,,0.216,,0.011,,0.025,,0.067,,,,,,,,,,,
nz30.csv,TimesProp,0.189,0.005,0.121,0.002,0.07,0.002,0.036,0.001,0.094,0.002,0.025,0,,,,,,,,,,
nz30.csv,PropDir,0.248,0.002,0.127,0.001,0.152,0.002,0.022,0.001,0.062,0.003,0.022,0,,,,,,,,,,
nz30.csv,PROFHiT,0.303,,0.296,,0.251,,0.045,,0.17,,0.063,,,,,,,,,,,
nz31.csv,PropDir,0.233,0.001,0.097,0.003,0.004,0,0.153,0.003,0.06,0,0.046,0,,,,,,,,,,
nz31.csv,PROFHiT,0.594,,0.137,,0.084,,0.27,,0.035,,0.161,,,,,,,,,,,
nz31.csv,TimesProp,0.199,0.001,0.092,0.005,0.017,0.001,0.135,0.002,0.064,0,0.046,0,,,,,,,,,,
nz32.csv,PropDir,0.224,0,0.005,0,0.216,0.001,0.094,0.001,0.009,0,0.016,0,,,,,,,,,,
nz32.csv,TimesProp,0.208,0.004,0.031,0.004,0.194,0.001,0.046,0.001,0.01,0,0.014,0,,,,,,,,,,
nz32.csv,PROFHiT,0.37,,0.16,,0.21,,0.167,,0.016,,0.05,,,,,,,,,,,
nz33.csv,PROFHiT,0.645,,0.25,,0.305,,0.438,,0.027,,0.078,,,,,,,,,,,
nz33.csv,PropDir,0.283,0,0.199,0.001,0.141,0.001,0.043,0,0.016,0,0.025,0,,,,,,,,,,
nz33.csv,TimesProp,0.256,0.003,0.187,0.002,0.081,0.003,0.052,0.001,0.014,0,0.027,0,,,,,,,,,,
nz34.csv,TimesProp,0.493,0.009,0.266,0.005,0.279,0.003,0.118,0.005,0.062,0,0.065,0.001,,,,,,,,,,
nz34.csv,PROFHiT,0.914,,0.471,,0.496,,0.101,,0.125,,0.172,,,,,,,,,,,
nz34.csv,PropDir,0.574,0.007,0.302,0.006,0.312,0.008,0.155,0.008,0.115,0.007,0.07,0.002,,,,,,,,,,
nz35.csv,PropDir,0.237,0.002,0.019,0,0.185,0.002,0.055,0,0.068,0.001,0.041,0,,,,,,,,,,
nz35.csv,PROFHiT,0.266,,0.222,,0.261,,0.088,,0.034,,0.029,,,,,,,,,,,
nz35.csv,TimesProp,0.207,0,0.032,0.001,0.167,0.001,0.058,0.001,0.064,0.002,0.033,0,,,,,,,,,,
nz36.csv,TimesProp,0.248,0.001,0.061,0.001,0.205,0,0.04,0.001,0.022,0,0.01,0,,,,,,,,,,
nz36.csv,PROFHiT,0.535,,0.475,,0.268,,0.041,,0.03,,0.022,,,,,,,,,,,
nz36.csv,PropDir,0.302,0,0.064,0,0.227,0.002,0.034,0,0.032,0.001,0.012,0,,,,,,,,,,
nz37.csv,PROFHiT,0.401,,0.134,,0.376,,0.08,,0.027,,0.032,,,,,,,,,,,
nz37.csv,PropDir,0.282,0,0.027,0,0.195,0,0.097,0,0.05,0,0.01,0,,,,,,,,,,
nz37.csv,TimesProp,0.239,0.001,0.032,0,0.19,0.001,0.059,0,0.026,0,0.012,0,,,,,,,,,,
nz38.csv,PropDir,0.715,0.002,0.361,0.001,0.457,0.004,0.158,0.001,0.214,0,0.06,0.003,,,,,,,,,,
nz38.csv,PROFHiT,0.824,,0.412,,0.562,,0.109,,0.043,,0.058,,,,,,,,,,,
nz38.csv,TimesProp,0.592,0.004,0.332,0.009,0.408,0.007,0.133,0.005,0.051,0.001,0.044,0.001,,,,,,,,,,
nz39.csv,PropDir,0.492,0.001,0.339,0.001,0.16,0.001,0.177,0,0.047,0,,,,,,,,,,,,
nz39.csv,PROFHiT,0.895,,0.642,,0.266,,0.083,,0.116,,,,,,,,,,,,,
nz39.csv,TimesProp,0.434,0.006,0.317,0.004,0.12,0.001,0.092,0,0.074,0.001,,,,,,,,,,,,
nz40.csv,PropDir,0.517,0.005,0.286,0.001,0.178,0.001,0.117,0.003,0.013,0,0.081,0.002,,,,,,,,,,
nz40.csv,PROFHiT,0.51,,0.822,,0.335,,0.12,,0.041,,0.142,,,,,,,,,,,
nz40.csv,TimesProp,0.469,0.009,0.284,0.003,0.17,0,0.085,0.001,0.022,0,0.072,0.001,,,,,,,,,,
nz41.csv,PropDir,0.251,0.001,0.029,0,0.161,0.001,0.075,0.002,0.071,0.001,0.032,0,,,,,,,,,,
nz41.csv,PROFHiT,0.423,,0.112,,0.129,,0.069,,0.266,,0.05,,,,,,,,,,,
nz41.csv,TimesProp,0.23,0.003,0.039,0.001,0.154,0.001,0.084,0.002,0.087,0.001,0.038,0,,,,,,,,,,
nz42.csv,PROFHiT,0.57,,0.178,,0.245,,0.139,,0.031,,0.248,,,,,,,,,,,
nz42.csv,TimesProp,0.382,0.02,0.039,0.005,0.257,0.006,0.115,0.004,0.068,0.002,0.158,0.002,,,,,,,,,,
nz42.csv,PropDir,0.468,0.006,0.009,0,0.263,0.001,0.136,0.001,0.098,0.002,0.133,0.003,,,,,,,,,,
nz43.csv,PropDir,0.223,0.001,0.088,0.001,0.116,0.002,0.015,0,0.056,0.001,0.012,0,,,,,,,,,,
nz43.csv,PROFHiT,0.52,,0.145,,0.09,,0.013,,0.104,,0.07,,,,,,,,,,,
nz43.csv,TimesProp,0.2,0.001,0.11,0.002,0.086,0.001,0.024,0.001,0.06,0.002,0.016,0,,,,,,,,,,
nz44.csv,TimesProp,0.402,0.001,0.063,0.001,0.329,0.003,0.111,0.001,0.037,0,0.048,0,,,,,,,,,,
nz44.csv,PropDir,0.519,0.001,0.061,0.001,0.352,0.001,0.216,0.004,0.035,0,0.064,0.001,,,,,,,,,,
nz44.csv,PROFHiT,1.068,,0.31,,0.739,,0.104,,0.083,,0.222,,,,,,,,,,,
nz45.csv,TimesProp,0.333,0.004,0.099,0.001,0.256,0.002,0.098,0.003,0.04,0,0.058,0.001,,,,,,,,,,
nz45.csv,PropDir,0.43,0.002,0.107,0.001,0.29,0.001,0.169,0.002,0.073,0,0.055,0.001,,,,,,,,,,
nz45.csv,PROFHiT,0.449,,0.127,,0.925,,0.068,,0.027,,0.095,,,,,,,,,,,
nz46.csv,PROFHiT,1.221,,0.67,,0.173,,0.298,,0.008,,0.086,,0.046,,0.144,,0.095,,0.128,,0.087,
nz46.csv,TimesProp,0.386,0.005,0.167,0.001,0.033,0.001,0.234,0.005,0.027,0.001,0.098,0.005,0.166,0.004,0.201,0.001,0.128,0.001,0.365,0.002,0.05,0
nz46.csv,PropDir,0.473,0.001,0.191,0.007,0.015,0,0.269,0.001,0.006,0,0.098,0.001,0.013,0.001,0.113,0.003,0.083,0.001,0.164,0.002,0.042,0
nz47.csv,TimesProp,0.105,0,0.015,0.002,0.054,0.001,0.016,0,0.012,0,0.04,0,,,,,,,,,,
nz47.csv,PropDir,0.128,0,0.003,0,0.084,0.001,0.008,0,0.012,0,0.039,0,,,,,,,,,,
nz47.csv,PROFHiT,0.409,,0.127,,0.07,,0.022,,0.025,,0.087,,,,,,,,,,,
